Symbol,Name
LSK,Lisk
UMA,UMA
HFT,Hashflow
RLC,iExecRLC
SYS,Syscoin
PLA,PlayDapp
STG,Stargate Finance
MC,Merit Circle
KNC,KyberNetwork
COCOS,Cocos-BCX
PUNDIX,PundiX
SLP,Smooth Love Potion
REN,Ren
XNO,Nano
PEOPLE,ConstitutionDAO
NMR,Numeraire
DENT,DENT
JOE,JOE
SCRT,Secret
HOOK,Hooked Protocol
GTC,Gitcoin
SNT,Status
CVC,Civic
PYR,Vulcan Forged PYR
GAL,Galxe
CHR,Chromia
VGX,Voyager Token
DEXE,DeXe
POLYX,Polymesh
ONG,Ontology Gas
REQ,Request Network
CTSI,Cartesi
RAD,Radicle
ANT,Aragon
PROM,Prometeus
MBOX,MOBOX
ARDR,Ardor
STEEM,Steem
DODO,DODO
POWR,PowerLedger
BNT,Bancor
STPT,Standard Tokenization Protocol
COTI,COTI
ALPHA,Alpha Finance Lab
VTHO,VeThor Token
TRU,TrueFi
MDX,Mdex
WIN,WINkLink
POND,Marlin
NKN,NKN
DUSK,Dusk Network
PHA,Phala.Network
HIGH,Highstreet
MTL,Metal
STRAX,Stratis
IQ,Everipedia
ALICE,My Neighbor Alice
SPELL,Spell Token
LOOM,Loom Network
FUN,FunToken
XVS,Venus
WNXM,Wrapped NXM
QKC,QuarkChain
BSW,Biswap
YGG,Yield Guild Games
CTK,Shentu
SRM,Serum
TLM,Alien Worlds
WRX,WazirX
OXT,Orchid
ACA,Acala Token
BADGER,Badger DAO
REEF,Reef
STMX,StormX
GHST,Aavegotchi
OGN,OriginToken
ARPA,ARPA Chain
BETA,Beta Finance
SUN,SUN
ATA,Automata
PERP,Perpetual Protocol
ARK,Ark
TKO,Tokocrypto
KEY,Selfkey
LINA,Linear
MOVR,Moonriver
IRIS,IRISnet
DAR,Mines of Dalarnia
AERGO,Aergo
VAI,Vai
WAN,Wanchain
MBL,MovieBloc
CTXC,Cortex
TOMO,TomoChain
FORTH,Ampleforth Governance Token
C98,Coin98
SUPER,SuperFarm
GFT,Gifto
UTK,Utrust
XVG,Verge
RAY,Raydium
ALPACA,Alpaca Finance
PHB,Phoenix
MLN,Enzyme
LTO,LTO  Network
LIT,Litentry
QLC,Kepple
POLS,Polkastarter
MDT,Measurable Data Token
QUICK,QuickSwap
FLM,Flamingo
RARE,SuperRare
YFII,DFI.Money
HIFI,Hifi Finance
LOKA,League of Kingdoms
TVK,Virtua
BIFI,Beefy.Finance
AUCTION,Auction
ALCX,Alchemix
IDEX,IDEX
BAKE,BakeryToken
BAR,FC Barcelona FanToken BAR
DIA,DIA
KP3R,Keep3rV1
GAS,NeoGas
SNM,SONM
BTS,BitShares
FIS,Stafi
AVA,Travala.com
QI,BENQI
BOND,BarnBridge
KMD,Komodo
TROY,Troy
BEL,Bella Protocol
CHESS,Tranchess
LEVER,LeverFi
AGLD,Adventure Gold
ORN,Orion Protocol
CLV,Clover Finance
REI,REI Network
BLZ,Bluzelle
DF,dForce
VOXEL,Voxies
VIDT,VIDT DAO
DEGO,Dego Finance
ERN,Ethernity Chain
DATA,Streamr
COS,Contentos
NULS,Nuls
ADX,Ambire AdEx
PIVX,PIVX
ALPINE,Alpine F1 TeamFan Token
FIRO,Firo
NEBL,Neblio
FIO,FIO Protocol
TRB,Tellor Tributes
CITY,Manchester City Fan Token
PSG,Paris Saint- Germain FanToken
HARD,Kava Lend
UNFI,Unifi Protocol DAO
FARM,Harvest Finance
DREP,DREP
LAZIO,Lazio Fan Token
AMB,AirDAO
VITE,VITE
BURGER,BurgerCities
FRONT,Frontier
OM,MANTRA
CREAM,Cream Finance
EPX,Ellipsis
SANTOS,Santos FC Fan Token
WING,Wing Token
AKRO,Akropolis
VIB,Viberate
FIDA,Bonfida
DOCK,DOCK
AUTO,Auto
PORTO,FC Porto Fan Token
FOR,ForTube
OOKI,OokiDAO
PNT,pNetwork
PERL,Perlin
WTC,Walton
PROS,Prosper
AST,AirSwap
CVP,PowerPool
BIDR,BIDR
OAX,openANX
UFT,UniLend
ACM,AC Milan Fan Token
JUV,Juventus Fan Token
OG,OG Fan Token
ATM,Atletico de  Madrid Fan Token
TORN,Tornado Cash
IDRT,Rupiah Token
ASR,AS Roma Fan Token
WABI,TAEL
ADADOWN,ADADOWN
ADAUP,ADAUP
AUD,Australian Dollar
BETH,BETH
BNBDOWN,BNBDOWN
BNBUP,BNBUP
BTCDOWN,BTCDOWN
BTCUP,BTCUP
ETHDOWN,ETHDOWN
ETHUP,ETHUP
EUR,Euro
GBP,Pound Sterling
LINKDOWN,LINKDOWN
LINKUP,LINKUP
XRPDOWN,XRPDOWN
XRPUP,XRPUP
